Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,159.93,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,9.0,1,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,120.9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1,9.0,1,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120.28,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134.07,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0.0,1,12.0,3.0,3,5,3,0,11.0,1.0,1.0,3.0,129.6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139.19,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1,9.0,3,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,120.86000000000001,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,9.0,1,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,122.93,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,13.0,3,9.0,3.0,4,3,2,1,14.0,0.0,1.0,2.0,126.83000000000001,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,9.0,1,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,122.93,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,4.0,1,18.0,2.0,3,3,2,0,15.0,9.0,15.0,8.0,295.45,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,153.81,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134.41,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,133.88,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196.19,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1,9.0,2,12.0,3.0,3,5,5,1,22.0,1.0,1.0,2.0,120.72999999999999,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
